


| Training Step | Cross Entropy |  Layer  |   Epoch  |

| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      127.7334 | Layer 1 | Epoch 33  |
|             0 |     2507.5242 | Layer 2 | Epoch 33  |
|           100 |      133.1382 | Layer 1 | Epoch 33  |
|           100 |     1331.9880 | Layer 2 | Epoch 33  |
|           200 |      128.8596 | Layer 1 | Epoch 33  |
|           200 |     1254.8872 | Layer 2 | Epoch 33  |
|           300 |      138.0454 | Layer 1 | Epoch 33  |
|           300 |     1230.2681 | Layer 2 | Epoch 33  |
|           400 |      130.9211 | Layer 1 | Epoch 33  |
|           400 |     1230.9268 | Layer 2 | Epoch 33  |
|           500 |      128.4692 | Layer 1 | Epoch 33  |
|           500 |     1240.7410 | Layer 2 | Epoch 33  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      129.8932 | Layer 1 | Epoch 34  |
|             0 |     2526.7471 | Layer 2 | Epoch 34  |
|           100 |      127.5831 | Layer 1 | Epoch 34  |
|           100 |     1334.2383 | Layer 2 | Epoch 34  |
|           200 |      129.7923 | Layer 1 | Epoch 34  |
|           200 |     1257.4092 | Layer 2 | Epoch 34  |
|           300 |      133.1005 | Layer 1 | Epoch 34  |
|           300 |     1225.0037 | Layer 2 | Epoch 34  |
|           400 |      129.1434 | Layer 1 | Epoch 34  |
|           400 |     1226.3525 | Layer 2 | Epoch 34  |
|           500 |      128.7041 | Layer 1 | Epoch 34  |
|           500 |     1231.2501 | Layer 2 | Epoch 34  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      129.0938 | Layer 1 | Epoch 35  |
|             0 |     2479.1982 | Layer 2 | Epoch 35  |
|           100 |      127.4459 | Layer 1 | Epoch 35  |
|           100 |     1340.9839 | Layer 2 | Epoch 35  |
|           200 |      132.0863 | Layer 1 | Epoch 35  |
|           200 |     1249.2289 | Layer 2 | Epoch 35  |
|           300 |      129.1549 | Layer 1 | Epoch 35  |
|           300 |     1235.4902 | Layer 2 | Epoch 35  |
|           400 |      132.0955 | Layer 1 | Epoch 35  |
|           400 |     1223.9739 | Layer 2 | Epoch 35  |
|           500 |      128.4021 | Layer 1 | Epoch 35  |
|           500 |     1233.8789 | Layer 2 | Epoch 35  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
